iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ABW,North America,Aruba,2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161593.0,83604.0,77989.0,,34.0,69.0,150.75,77.99,72.75,,644.0,26.0,0.024,41.67,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2021-11-27,81854438.0,71983.0,89876.0,1214441.0,958.0,1370.857,17496.078,15.386,19.211,259.582,0.205,0.293,,,,,,,,,,,,,,,,,,,5346458249.0,2918585185.0,2233390436.0,98395652.0,23424520.0,22572980.0,114.28,62.38,47.74,2.1,4825.0,5243719.0,0.112,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-11-27,207984.0,1235.0,1363.143,1994.0,4.0,7.143,8065.079,47.89,52.859,77.322,0.155,0.277,1.03,,,,,,,,,173881.0,47196453.0,1830.156,6.743,150114.0,5.821,0.009,108.9,tests performed,39011295.0,19950573.0,18655024.0,405698.0,104321.0,94647.0,151.28,77.36,72.34,1.57,3670.0,27467.0,0.107,72.69,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2021-11-27,1132805.0,11671.0,12890.571,12349.0,65.0,50.857,125267.719,1290.601,1425.464,1365.576,7.188,5.624,1.09,533.0,58.94,2425.0,268.161,,,,,606176.0,109210004.0,12076.649,67.032,476079.0,52.646,0.03,33.7,tests performed,13412688.0,6283906.0,5886649.0,1580366.0,115701.0,103952.0,148.32,69.49,65.1,17.48,11495.0,12552.0,0.139,64.81,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2021-11-27,584121.0,1617.0,1719.429,7789.0,22.0,27.143,57136.002,158.167,168.187,761.884,2.152,2.655,0.95,,,,,,,,,,5497719.0,537.761,,9814.0,0.96,0.176,5.7,tests performed,10426930.0,5067433.0,4549652.0,809845.0,30893.0,27546.0,101.99,49.57,44.5,7.92,2694.0,3546.0,0.035,51.85,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2021-11-27,22734.0,14.0,11.286,671.0,0.0,0.0,57276.891,35.272,28.434,1690.543,0.0,0.0,0.76,,,,,,,,,296.0,166095.0,418.466,0.746,371.0,0.935,0.02,49.9,tests performed,274502.0,149231.0,134481.0,,,765.0,69.16,37.6,33.88,,1927.0,393.0,0.099,39.35,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2021-11-27,277552.0,16.0,29.143,1394.0,0.0,0.0,158755.816,9.152,16.669,797.348,0.0,0.0,1.03,,,,,,,,,15825.0,7315243.0,4184.215,9.052,13270.0,7.59,0.002,450.9,units unclear,2894455.0,1187171.0,1157193.0,,6740.0,6629.0,165.56,67.9,66.19,,3792.0,275.0,0.016,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2021-11-27,1575579.0,155.0,241.429,27975.0,2.0,4.143,9474.118,0.932,1.452,168.217,0.012,0.025,1.08,,,,,,,,,21002.0,10761511.0,64.71,0.126,18437.0,0.111,0.013,74.4,tests performed,92730087.0,57042291.0,35687796.0,,992201.0,819267.0,55.76,34.3,21.46,,4926.0,578134.0,0.348,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2021-11-27,24769.0,0.0,163.714,223.0,0.0,2.429,86090.759,0.0,569.029,775.091,0.0,8.441,0.91,,,,,,,,,,,,,,,,,,288982.0,153261.0,135721.0,,331.0,476.0,100.44,53.27,47.17,,1654.0,152.0,0.053,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2021-11-27,650168.0,1696.0,1680.857,5041.0,15.0,15.571,68852.818,179.606,178.003,533.842,1.589,1.649,0.93,,,,,,,,,,10320279.0,1092.918,,22876.0,2.423,0.074,13.5,tests performed,5975709.0,3415261.0,2560448.0,,,41517.0,63.28,36.17,27.12,,4397.0,22239.0,0.236,19.44,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2021-11-27,1701633.0,0.0,17161.857,26840.0,0.0,38.857,146284.744,0.0,1475.358,2307.362,0.0,3.34,1.37,632.0,54.331,3139.0,269.851,,,1949.417,167.586,119660.0,24137784.0,2075.059,10.287,111357.0,9.573,0.162,6.2,tests performed,17080315.0,8821402.0,8676283.0,1367675.0,3830.0,6324.0,146.83,75.84,74.59,11.76,544.0,3383.0,0.029,53.7,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2021-11-27,30165.0,0.0,94.857,570.0,0.0,1.714,74497.117,0.0,234.264,1407.703,0.0,4.234,0.94,,,,,,,,,,340447.0,840.786,,1180.0,2.914,0.072,14.0,tests performed,403528.0,227261.0,190806.0,,,771.0,99.66,56.13,47.12,,1904.0,172.0,0.042,60.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2021-11-27,24850.0,0.0,0.571,161.0,0.0,0.0,1995.819,0.0,0.046,12.931,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,383501.0,339452.0,297726.0,,,3294.0,3.08,2.73,2.39,,265.0,3169.0,0.025,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BTN,Asia,Bhutan,2021-11-27,2636.0,2.0,0.571,3.0,0.0,0.0,3379.921,2.564,0.733,3.847,0.0,0.0,0.5,,,,,,,,,2455.0,1235929.0,1584.728,3.148,1594.0,2.044,0.0,2791.6,samples tested,1153283.0,589141.0,564142.0,,,245.0,147.88,75.54,72.34,,314.0,40.0,0.005,47.22,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-11-27,535115.0,0.0,958.286,19137.0,0.0,12.286,45222.504,0.0,80.985,1617.266,0.0,1.038,1.22,,,,,,,,,8076.0,2745642.0,232.034,0.683,6803.0,0.575,0.131,7.6,tests performed,,,,,,,,,,,,,,30.09,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BIH,Europe,Bosnia and Herzegovina,2021-11-27,272798.0,0.0,603.714,12456.0,0.0,33.857,83591.674,0.0,184.992,3816.809,0.0,10.375,0.95,,,,,,,,,3436.0,1385921.0,424.679,1.053,3057.0,0.937,0.198,5.1,tests performed,,,,,,,,,,,,,,35.19,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2021-11-27,194909.0,0.0,66.286,2416.0,0.0,0.0,81305.585,0.0,27.651,1007.826,0.0,0.0,0.57,,,,,,,,,,,,,,,,,,1352557.0,883188.0,469369.0,,,16298.0,56.42,36.84,19.58,,6799.0,7805.0,0.326,13.89,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2021-11-27,22076863.0,9233.0,9244.714,614186.0,229.0,228.429,103166.073,43.146,43.201,2870.116,1.07,1.067,0.97,,,,,,,,,,65191446.0,304.642,,23047.0,0.108,,,tests performed,297960460.0,162436791.0,128481994.0,12107003.0,856500.0,2424471.0,139.24,75.91,60.04,5.66,11330.0,188980.0,0.088,41.2,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
BRN,Asia,Brunei,2021-11-27,14992.0,74.0,78.286,97.0,0.0,0.143,33954.504,167.598,177.305,219.69,0.0,0.324,0.82,,,,,,,,,,,,,,,,,,744337.0,402428.0,341909.0,,4047.0,4051.0,168.58,91.14,77.44,,9175.0,733.0,0.166,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2021-11-27,688628.0,1218.0,2296.143,28043.0,47.0,123.286,99849.565,176.607,332.936,4066.174,6.815,17.876,0.83,759.0,110.053,7332.0,1063.124,,,,,,6433278.0,932.811,,35304.0,5.119,0.067,14.9,tests performed,3283897.0,1786530.0,1749169.0,,21464.0,15668.0,47.62,25.9,25.36,,2272.0,12077.0,0.175,43.52,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2021-11-27,15711.0,197.0,28.143,281.0,16.0,2.286,730.843,9.164,1.309,13.072,0.744,0.106,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2021-11-27,20386.0,0.0,7.714,38.0,0.0,0.0,1663.426,0.0,0.629,3.101,0.0,0.0,0.69,,,,,,,,,,,,,,,,,,1438.0,874.0,564.0,,,22.0,0.01,0.01,0.0,,2.0,9.0,0.0,8.33,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2021-11-27,120064.0,26.0,34.0,2927.0,5.0,4.429,7084.907,1.534,2.006,172.721,0.295,0.261,0.7,,,,,,,,,,,,,,,,,,28564675.0,14125921.0,13277803.0,2214102.0,28334.0,24794.0,168.56,83.36,78.35,13.07,1463.0,5255.0,0.031,54.17,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2021-11-27,106794.0,0.0,86.286,1791.0,0.0,3.0,3922.751,0.0,3.169,65.787,0.0,0.11,0.66,,,,,,,,,,,,,,,,,,923643.0,754013.0,565876.0,,,47269.0,3.39,2.77,2.08,,1736.0,37638.0,0.138,25.0,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2021-11-27,1792561.0,1982.0,2868.143,29681.0,10.0,19.714,47088.502,52.065,75.343,779.686,0.263,0.518,1.11,473.0,12.425,1572.0,41.295,,,,,99100.0,48388185.0,1271.102,2.603,85392.0,2.243,0.033,30.5,tests performed,60284289.0,30233018.0,28956247.0,1095024.0,60650.0,52310.0,158.36,79.42,76.06,2.88,1374.0,13819.0,0.036,67.13,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2021-11-27,38358.0,5.0,4.857,349.0,0.0,-0.143,68264.694,8.898,8.644,621.106,0.0,-0.254,0.81,,,,,,,,,376.0,,,0.669,,,,,tests performed,539908.0,303569.0,236339.0,,,1446.0,96.09,54.03,42.06,,2573.0,889.0,0.158,37.96,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121080.0,57558.0,55352.0,,,235.0,182.08,86.56,83.24,,3534.0,29.0,0.044,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2021-11-27,11708.0,0.0,6.0,101.0,0.0,0.0,2379.681,0.0,1.22,20.529,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,422496.0,362298.0,321982.0,,,10.0,8.59,7.36,6.54,,2.0,10.0,0.0,11.11,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2021-11-27,5107.0,0.0,0.0,175.0,0.0,0.0,301.922,0.0,0.0,10.346,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,249651.0,179130.0,70521.0,,,1057.0,1.48,1.06,0.42,,62.0,566.0,0.003,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2021-11-27,1757077.0,2634.0,2368.714,38282.0,37.0,26.857,91455.543,137.099,123.291,1992.571,1.926,1.398,1.03,,,,,,,,,75350.0,25096408.0,1306.264,3.922,68904.0,3.586,0.034,29.5,tests performed,40421676.0,16820529.0,16027728.0,8146315.0,89833.0,102066.0,210.39,87.55,83.42,42.4,5313.0,8697.0,0.045,35.65,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,37473.0,17.85,12.41,1950.463
CHN,Asia,China,2021-11-27,98708.0,23.0,23.429,4636.0,0.0,0.0,68.347,0.016,0.016,3.21,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,2472847000.0,1225000000.0,1076308000.0,65730000.0,8517000.0,7134143.0,171.22,84.82,74.53,4.55,4940.0,2002548.0,0.139,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2021-11-27,5063177.0,2620.0,2537.857,128394.0,51.0,48.571,98763.171,51.106,49.504,2504.475,0.995,0.947,1.09,,,,,,,,,51042.0,27833471.0,542.924,0.996,47584.0,0.928,0.058,17.2,tests performed,55391614.0,36026715.0,24089350.0,,409161.0,376467.0,108.05,70.27,46.99,,7343.0,281313.0,0.549,55.56,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2021-11-27,4489.0,7.0,7.0,150.0,0.0,0.0,5052.586,7.879,7.879,168.832,0.0,0.0,0.94,,,,,,,,,,,,,,,,,,476350.0,278152.0,198198.0,,,2158.0,53.62,31.31,22.31,,2429.0,423.0,0.048,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2021-11-27,18837.0,0.0,17.143,349.0,0.0,1.429,3329.847,0.0,3.03,61.693,0.0,0.253,0.9,,,,,,,,,,,,,,,,,,625579.0,496643.0,128936.0,,,5595.0,11.06,8.78,2.28,,989.0,5274.0,0.093,35.19,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
CRI,North America,Costa Rica,2021-11-27,566560.0,0.0,144.571,7287.0,0.0,5.143,110245.993,0.0,28.132,1417.966,0.0,1.001,0.73,,,,,,,,,1296.0,2100044.0,408.644,0.252,3076.0,0.599,0.054,18.5,people tested,7034279.0,3860379.0,3144053.0,29847.0,,22315.0,136.88,75.12,61.18,0.58,4342.0,5528.0,0.108,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2021-11-27,61704.0,18.0,18.143,704.0,0.0,0.286,2280.803,0.665,0.671,26.022,0.0,0.011,0.98,,,,,,,,,2106.0,1140479.0,42.156,0.078,1986.0,0.073,0.009,112.1,samples tested,3845788.0,2669432.0,1176366.0,,,52881.0,14.22,9.87,4.35,,1955.0,31113.0,0.115,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2021-11-27,599977.0,5502.0,4837.0,10695.0,51.0,64.571,146993.488,1347.982,1185.058,2620.259,12.495,15.82,0.97,,,2219.0,543.652,,,1685.702,412.995,,3411379.0,835.783,,12110.0,2.967,0.36,2.8,people tested,4073744.0,2161370.0,1918691.0,,26442.0,19332.0,99.81,52.95,47.01,,4736.0,8869.0,0.217,35.19,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2021-11-27,962067.0,183.0,227.857,8300.0,1.0,1.0,85007.04,16.17,20.133,733.378,0.088,0.088,0.68,,,,,,,,,,,,,,,,,,27961410.0,10142765.0,9114147.0,,38327.0,41600.0,247.06,89.62,80.53,,3676.0,5754.0,0.051,33.8,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197381.0,102591.0,94790.0,,15.0,104.0,119.77,62.25,57.52,,631.0,41.0,0.025,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2021-11-27,131951.0,0.0,294.714,591.0,0.0,0.143,147265.919,0.0,328.92,659.595,0.0,0.159,1.12,18.0,20.089,105.0,117.187,9.081,10.135,47.423,52.928,61424.0,16176808.0,18054.372,68.553,61318.0,68.435,0.006,159.4,tests performed,1298388.0,619136.0,581601.0,97651.0,,5859.0,144.91,69.1,64.91,10.9,6539.0,941.0,0.105,46.3,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2021-11-27,2110274.0,20417.0,18489.286,32744.0,101.0,105.571,196770.346,1903.762,1724.015,3053.181,9.418,9.844,1.21,778.0,72.544,5304.0,494.566,1219.481,113.709,8125.194,757.625,104857.0,,,9.777,114157.0,10.644,0.165,6.1,tests performed,13337002.0,6613301.0,6331147.0,771772.0,65858.0,45911.0,124.36,61.67,59.03,7.2,4281.0,15525.0,0.145,35.19,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2021-11-27,58115.0,0.0,33.571,1104.0,0.0,0.0,629.1,0.0,0.363,11.951,0.0,0.0,1.15,,,,,,,,,,,,,,,,,,186749.0,137606.0,53013.0,,,2875.0,0.2,0.15,0.06,,31.0,2312.0,0.003,39.81,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2021-11-27,479377.0,3744.0,4057.571,2876.0,13.0,8.143,82462.084,644.04,697.98,494.727,2.236,1.401,1.19,51.0,8.773,414.0,71.216,,,436.29,75.05,177433.0,46568224.0,8010.632,30.522,169399.0,29.14,0.024,42.2,tests performed,9681985.0,4553329.0,4447093.0,728073.0,38329.0,28963.0,166.55,78.33,76.5,12.52,4982.0,2649.0,0.046,44.44,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,367.0,0.35,9.22,63.131
DJI,Africa,Djibouti,2021-11-27,13504.0,0.0,0.429,186.0,0.0,0.0,13474.397,0.0,0.428,185.592,0.0,0.0,0.56,,,,,,,,,,,,,,,,,,99679.0,73592.0,26087.0,,,540.0,9.95,7.34,2.6,,539.0,540.0,0.054,43.52,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2021-11-27,5819.0,0.0,32.857,37.0,0.0,0.286,80626.836,0.0,455.262,512.664,0.0,3.959,1.19,,,,,,,,,,,,,,,,,,55134.0,28590.0,26544.0,,,168.0,76.39,39.61,36.78,,2328.0,55.0,0.076,79.63,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DOM,North America,Dominican Republic,2021-11-27,406511.0,490.0,656.714,4204.0,2.0,2.571,37111.705,44.734,59.954,383.797,0.183,0.235,0.89,,,,,,,,,,,,,,,,,,13759792.0,6861368.0,5573716.0,1324708.0,15683.0,14114.0,125.62,62.64,50.88,12.09,1289.0,2970.0,0.027,41.67,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2021-11-27,524432.0,0.0,83.571,33128.0,0.0,1.0,29316.754,0.0,4.672,1851.919,0.0,0.056,0.72,,,,,,,,,866.0,1889913.0,105.65,0.048,3244.0,0.181,0.113,8.9,people tested,24088225.0,13381327.0,10852890.0,275137.0,39585.0,102313.0,134.66,74.8,60.67,1.54,5719.0,44558.0,0.249,57.87,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
