iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
UZB,Asia,Uzbekistan,2020-04-18,1490.0,85.0,103.286,5.0,1.0,0.143,43.906,2.505,3.044,0.147,0.029,0.004,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-19,1565.0,75.0,100.0,5.0,0.0,0.143,46.117,2.21,2.947,0.147,0.0,0.004,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-20,1627.0,62.0,89.857,5.0,0.0,0.143,47.944,1.827,2.648,0.147,0.0,0.004,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-21,1678.0,51.0,73.286,6.0,1.0,0.286,49.446,1.503,2.16,0.177,0.029,0.008,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-22,1716.0,38.0,59.143,7.0,1.0,0.429,50.566,1.12,1.743,0.206,0.029,0.013,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-23,1758.0,42.0,58.429,7.0,0.0,0.429,51.804,1.238,1.722,0.206,0.0,0.013,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-24,1804.0,46.0,57.0,8.0,1.0,0.571,53.159,1.356,1.68,0.236,0.029,0.017,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-25,1862.0,58.0,53.143,8.0,0.0,0.429,54.868,1.709,1.566,0.236,0.0,0.013,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-26,1869.0,7.0,43.429,8.0,0.0,0.429,55.075,0.206,1.28,0.236,0.0,0.013,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-27,1904.0,35.0,39.571,8.0,0.0,0.429,56.106,1.031,1.166,0.236,0.0,0.013,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-28,1939.0,35.0,37.286,8.0,0.0,0.286,57.137,1.031,1.099,0.236,0.0,0.008,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-29,2002.0,63.0,40.857,9.0,1.0,0.286,58.994,1.856,1.204,0.265,0.029,0.008,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-04-30,2039.0,37.0,40.143,9.0,0.0,0.286,60.084,1.09,1.183,0.265,0.0,0.008,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,-1468.8,-2.91,-11.67
UZB,Asia,Uzbekistan,2020-05-01,2086.0,47.0,40.286,9.0,0.0,0.143,61.469,1.385,1.187,0.265,0.0,0.004,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-02,2118.0,32.0,36.571,9.0,0.0,0.143,62.412,0.943,1.078,0.265,0.0,0.004,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-03,2149.0,31.0,40.0,10.0,1.0,0.286,63.326,0.913,1.179,0.295,0.029,0.008,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-04,2189.0,40.0,40.714,10.0,0.0,0.286,64.504,1.179,1.2,0.295,0.0,0.008,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-05,2207.0,18.0,38.286,10.0,0.0,0.286,65.035,0.53,1.128,0.295,0.0,0.008,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-06,2233.0,26.0,33.0,10.0,0.0,0.143,65.801,0.766,0.972,0.295,0.0,0.004,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-07,2298.0,65.0,37.0,10.0,0.0,0.143,67.716,1.915,1.09,0.295,0.0,0.004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-08,2325.0,27.0,34.143,10.0,0.0,0.143,68.512,0.796,1.006,0.295,0.0,0.004,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-09,2349.0,24.0,33.0,10.0,0.0,0.143,69.219,0.707,0.972,0.295,0.0,0.004,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-10,2418.0,69.0,38.429,10.0,0.0,0.0,71.252,2.033,1.132,0.295,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-11,2486.0,68.0,42.429,10.0,0.0,0.0,73.256,2.004,1.25,0.295,0.0,0.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-12,2519.0,33.0,44.571,10.0,0.0,0.0,74.228,0.972,1.313,0.295,0.0,0.0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-13,2612.0,93.0,54.143,11.0,1.0,0.143,76.969,2.74,1.595,0.324,0.029,0.004,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-14,2645.0,33.0,49.571,11.0,0.0,0.143,77.941,0.972,1.461,0.324,0.0,0.004,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-15,2686.0,41.0,51.571,11.0,0.0,0.143,79.15,1.208,1.52,0.324,0.0,0.004,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-16,2738.0,52.0,55.571,11.0,0.0,0.143,80.682,1.532,1.638,0.324,0.0,0.004,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-17,2753.0,15.0,47.857,12.0,1.0,0.286,81.124,0.442,1.41,0.354,0.029,0.008,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-18,2791.0,38.0,43.571,13.0,1.0,0.429,82.244,1.12,1.284,0.383,0.029,0.013,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-19,2855.0,64.0,48.0,13.0,0.0,0.429,84.13,1.886,1.414,0.383,0.0,0.013,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-20,2939.0,84.0,46.714,13.0,0.0,0.286,86.605,2.475,1.377,0.383,0.0,0.008,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-21,2964.0,25.0,45.571,13.0,0.0,0.286,87.341,0.737,1.343,0.383,0.0,0.008,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-22,3028.0,64.0,48.857,13.0,0.0,0.286,89.227,1.886,1.44,0.383,0.0,0.008,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-23,3115.0,87.0,53.857,13.0,0.0,0.286,91.791,2.564,1.587,0.383,0.0,0.008,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-24,3164.0,49.0,58.714,13.0,0.0,0.143,93.235,1.444,1.73,0.383,0.0,0.004,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-25,3189.0,25.0,56.857,13.0,0.0,0.0,93.972,0.737,1.675,0.383,0.0,0.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-26,3290.0,101.0,62.143,14.0,1.0,0.143,96.948,2.976,1.831,0.413,0.029,0.004,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-27,3369.0,79.0,61.429,14.0,0.0,0.143,99.276,2.328,1.81,0.413,0.0,0.004,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-28,3444.0,75.0,68.571,14.0,0.0,0.143,101.486,2.21,2.021,0.413,0.0,0.004,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-29,3468.0,24.0,62.857,14.0,0.0,0.143,102.193,0.707,1.852,0.413,0.0,0.004,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
UZB,Asia,Uzbekistan,2020-05-30,3546.0,78.0,61.571,14.0,0.0,0.143,104.492,2.298,1.814,0.413,0.0,0.004,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,
