iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
BLZ,North America,Belize,2020-04-19,18.0,0.0,0.571,2.0,0.0,0.0,44.454,0.0,1.411,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-20,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-21,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-22,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-23,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-24,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-25,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-26,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-27,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-28,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-29,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-04-30,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-01,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-02,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-03,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-04,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-05,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-06,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-07,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-08,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-09,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-10,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-11,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-12,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-13,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-14,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-15,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-16,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-17,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-18,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-19,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-20,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-21,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-22,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-23,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-24,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-25,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-26,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-27,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-28,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-29,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-30,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-05-31,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-01,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-02,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-03,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-04,18.0,0.0,0.0,2.0,0.0,0.0,44.454,0.0,0.0,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-05,19.0,1.0,0.143,2.0,0.0,0.0,46.923,2.47,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-06,19.0,0.0,0.143,2.0,0.0,0.0,46.923,0.0,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-07,19.0,0.0,0.143,2.0,0.0,0.0,46.923,0.0,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-08,19.0,0.0,0.143,2.0,0.0,0.0,46.923,0.0,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-09,20.0,1.0,0.286,2.0,0.0,0.0,49.393,2.47,0.706,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-10,20.0,0.0,0.286,2.0,0.0,0.0,49.393,0.0,0.706,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-11,20.0,0.0,0.286,2.0,0.0,0.0,49.393,0.0,0.706,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-12,20.0,0.0,0.143,2.0,0.0,0.0,49.393,0.0,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
BLZ,North America,Belize,2020-06-13,20.0,0.0,0.143,2.0,0.0,0.0,49.393,0.0,0.353,4.939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,
